5,Sesiune portret in padure,"O sesiune de portrete intr-o padure, profitam la maxim  de frumusetile naturii pentru a va pune in evidenta pe dumneavoastra!",125.00,portret_padure.jpg,2,portret,individual,"{palarie,rochie,ochelari}",f,2023-05-17 18:35:43.71316,Padure
6,Sesiune portret modern,O sesiune de portrete in care punem in evidenta frumusetea dumneavoastra folsind arhitectura moderna a orasului ,175.00,portret_arhitectura.jpg,3,portret,individual,{},f,2023-05-17 18:35:43.71316,Oras
7,Fotografie botez,Iti doresti fotografii de cea mai buna calitate a botezului copilului tau? Alege serviciile mele!,750.00,botez.jpg,12,eveniment,grup,{},f,2023-05-17 18:35:43.71316,Biserica
8,Fotografie nunta,Vrei sa ai amintiri pentru o viata de la nunta ta? Apeleaza la sericiile mele pentru a imortaliza acest moment special!,915.00,nunta1.jpg,8,eveniment,cuplu,{},f,2023-05-17 18:35:43.71316,Restaurant
9,Pachet fotografie nunta,"Pachetul include fotografii de la cununia civila pana la restaurant, pe toata durata evenimentului, plus o sesiune bonus de portrete intr-o locatie surpriza!",1450.00,nunta2.jpg,10,eveniment,cuplu,{},t,2023-05-17 18:35:43.71316,La alegere
11,Fotografie revista,Ai nevoie de fotografii pentru revista ta? Poti apela oricand la serviciile mele si te voi ajuta cu fotografiile!,435.00,foto_revista.jpg,6,custom,individual,{},f,2023-05-17 18:35:43.71316,La alegere
12,Fotografie landscape,Ai nevoie de o fotografie pentru a-ti decora spatiul? Iti pot oferi servicii pentru fotografii cu ce loc iti doresti sa ai direct la tine in camera!,685.00,landscape.jpg,8,landscape,individual,{},t,2023-05-17 18:35:43.71316,Oriunde in afara orasului
4,Sedinta fotografie masina,"Ti-ai dorit fotografii cu masina ta? De aia ofer acest serviciu pentru tine! Tu alegi locatia, eu vin acolo!",150.00,fotografie_masina.jpg,4,custom,individual,{masina},f,2023-05-16 21:17:04.599701,Tu alegi locatia
10,Sesiune fotografie produs,Ai un produs pe care vrei sa-l pui in evidenta? Apeleaza la serviciile mele de fotografie de produs!,350.00,produs.jpg,4,produs,individual,{produs},f,2023-05-17 18:35:43.71316,Studio
13,Fotografie imobiliare,Iti doresti sa listezi o proprietate pe un site de anunturi? Evident ca vei avea nevoie de niste poze exceptionale pentru a aparea pe prima pagina! Apeleaza la serviciile mele de fotografie pentru cladiri si vanzarile vor veni de la sine!,745.00,realestate.jpg,6,custom,individual,{},f,2023-05-17 18:35:43.71316,Oriunde in Romania
14,Fotografie logodna, ,475.00,foto_logodna.jpg,3,eveniment,cuplu,{},f,2023-05-17 20:07:42.101367,Tu alegi locatia
15,Fotografie portret pe film, ,225.00,foto-portret_film.jpg,2,portret,cuplu,{},f,2023-05-17 20:07:42.101367,Tu alegi locatia
16,Sesiune editare poze, ,85.00,editare_poze.jpg,4,custom,individual,{},f,2023-05-17 20:07:42.101367,Online
17,Fotografie concert, ,750.00,foto_concert.jpg,5,eveniment,grup,{},f,2023-05-17 20:07:42.101367,Stadion/pub
18,Fotografie eveniment corporate, ,1000.00,foto_ev_corp.jpg,8,eveniment,grup,{},t,2023-05-17 20:07:42.101367,Salon evenimente/restaurant
19,Fotografie eveniment privat, ,865.00,foto_ev_priv.jpg,8,eveniment,grup,{},f,2023-05-17 20:07:42.101367,Salon evenimente/restaurant
20,Sesiune fotografie moda, ,565.00,foto_moda.jpg,6,eveniment,grup,{},f,2023-05-17 20:07:42.101367,Salon evenimente
22,Fotografie publicitara, ,440.00,foto_publicitar.jpg,3,custom,individual,{},f,2023-05-17 20:07:42.101367,Strada
23,Fotografie animalut de companie, ,105.00,foto_animalut.jpg,1,custom,individual,{animalut},f,2023-05-17 20:13:10.128581,Parc
